lemma	bin_tag	mim_tag	freq	rank	ind	manual_en	pre_kw	kw	post_kw	ipa_sd	full_cat	full_cat_en	bin_tag_en	tier	verb_1st_pres	verb_2nd_pres	verb_3rd_pres	verb_1st_past	verb_2nd_past	verb_3rd_past	verb_lh_þt	OBEYGJANLEGT	ÞFET	ÞGFET	EFET	NFFT	ÞFFT	ÞGFFT	EFFT	ft	et	ÞF	ÞGF	EF	lo.fst	lo.mst	lo.est	MST	EST	pronounce
vera	so	s	1083582	1	469289	be; stay	Það	er	mín afstaða í þessu máli.	vɛːra	Sagnorð	Verb	v.	1K	er	ert	er	var	varst	var	verið																			vera.mp3
og	st	c	953690	2	495371	and	Svarendur skiptust jafnt eftir kyni	og	landshlutum.	ɔːɣ	Samtenging	Conjuction	conj.	1K								og																		og.mp3
í	fs	a	810646	4	495295	in; to	Þetta kemur fram	í	Fréttablaðinu í dag.	iː	Forsetning	Preposition	prep.	1K								í																		í.mp3
á	fs	a	631754	7	495274	on; onto; in; into	Staða Milestone hefur versnað verulega	á	undanförnum mánuðum.	auː	Forsetning	Preposition	prep.	1K								á																		á.mp3
að	nhm	cn	540429	9	495459	to (infinitive marker)	Þessi maður á	að	segja af sér.	aːð	Nafnháttarmerki	Infinitive marker	inf.	1K								að																		að.mp3
það	pfn	fp	495194	10	403786	it; that	Hún vildi ekki gera	það	.	θaːð	Fornafn	Pronoun	pers.pron.	1K									það	því	þess	þau	þau	þeim	þeirra											það.mp3
sem	st	ct	432605	11.5	495372	as; that	Kreppan	sem	nú herji á heiminn sé ekki bara mál Íslendinga.	sɛːm	Samtenging	Conjuction	conj.	1K								sem																		sem.mp3
að	st	c	356326	13	495350	that	Þannig	að	það er mín afstaða í þessu máli.	aːð	Samtenging	Conjuction	conj.	1K								að																		að.mp3
ég	pfn	fp	351942	14.5	403780	I		Ég	er búin að bíða svona svolítið.	jɛːɣ	Fornafn	Pronoun	pers.pron.	1K									mig	mér	mín	við	okkur	okkur	okkar											ég.mp3
hafa	so	s	333588	16	478745	have	Alþingismönnum og ráðherrum	hefur	verið boðað til fundarins.	haːva	Sagnorð	Verb	v.	1K	hef	hefur	hefur	hafði	hafðir	hafði	haft																			hafa.mp3
til	fs	a	304370	17.5	495332	to, towards	Fólk er hvatt	til	að vera á verði við matarinnkaupin.	tʰɪːl	Forsetning	Preposition	prep.	1K								til																		til.mp3
hann	pfn	fp	285303	19	403784	he		Hann	var með 45 milljónir í laun.	han	Fornafn	Pronoun	pers.pron.	1K									hann	honum	hans	þeir	þá	þeim	þeirra											hann.mp3
um	fs	a	272090	20.5	495334	about; during; approximately	Við fjöllum nánar	um	þetta í fréttum okkar klukkan hálf sjö.	ʏm	Forsetning	Preposition	prep.	1K								um																		um.mp3
