lemma	bin_tag	mim_tag	freq	rank	ind	pre_kw_orig	kw_orig	post_kw_orig	pre_kw	kw	post_kw	ipa_sd	full_cat	bin_tag_en	tier	verb_1st_pres	verb_2nd_pres	verb_3rd_pres	verb_1st_past	verb_2nd_past	verb_3rd_past	verb_lh_þt	OBEYGJANLEGT	ÞFET	ÞGFET	EFET	NFFT	ÞFFT	ÞGFFT	EFFT	ft	et	ÞF	ÞGF	EF	lo.fst	lo.mst	lo.est	MST	EST	pronounce	manual_pl	full_cat_pl
vera	so	s	1083582	1	469289	Það	er	mín afstaða í þessu máli.	Hundurinn 	er	svartur.	vɛːra	Sagnorð	v.	1K	er	ert	er	var	varst	var	verið																			vera.mp3	być	czasownik
og	st	c	953690	2	495371	Svarendur skiptust jafnt eftir kyni	og	landshlutum.	Ég borðaði fisk	og	kartöflur.	ɔːɣ	Samtenging	conj.	1K								og																		og.mp3	i	spójnik
í	fs	a	810646	4	495295	Þetta kemur fram	í	Fréttablaðinu í dag.	Maðurinn er	í	sundi.	iː	Forsetning	prep.	1K								í																		í.mp3	w; do	przyimek
á	fs	a	631754	7	495274	Staða Milestone hefur versnað verulega	á	undanförnum mánuðum.	Glasið er	á	borðinu.	auː	Forsetning	prep.	1K								á																		á.mp3	na	przyimek
að	nhm	cn	540429	9	495459	Þessi maður á	að	segja af sér.	Ég er 	að	labba.	aːð	Nafnháttarmerki	inf.	1K								að																		að.mp3	żeby, do, z	infinitywny marker
það	pfn	fp	495194	10	403786	Hún vildi ekki gera	það	.	Ég veit	það	ekki.	θaːð	Fornafn	pers.pron.	1K									það	því	þess	þau	þau	þeim	þeirra											það.mp3	ono, ich	zaimek
sem	st	ct	432605	11.5	495372	Kreppan	sem	nú herji á heiminn sé ekki bara mál Íslendinga.	Ég hitti konu	sem	var glöð.	sɛːm	Samtenging	conj.	1K								sem																		sem.mp3	co	spójnik
að	st	c	356326	13	495350	Þannig	að	það er mín afstaða í þessu máli.	Hann segir mér	að	maturinn sé góður.	aːð	Samtenging	conj.	1K								að																		að.mp3	do; aby, żeby	spójnik
ég	pfn	fp	351942	14.5	403780		Ég	er búin að bíða svona svolítið.		Ég	hleyp hratt.	jɛːɣ	Fornafn	pers.pron.	1K									mig	mér	mín	við	okkur	okkur	okkar											ég.mp3	ja	zaimek
hafa	so	s	333588	16	478745	Alþingismönnum og ráðherrum	hefur	verið boðað til fundarins.	Ég 	hef 	hitt hana oft.	haːva	Sagnorð	v.	1K	hef	hefur	hefur	hafði	hafðir	hafði	haft																			hafa.mp3	mieć	czasownik
til	fs	a	304370	17.5	495332	Fólk er hvatt	til	að vera á verði við matarinnkaupin.	Við hlökkum 	til	sumarsins.	tʰɪːl	Forsetning	prep.	1K								til																		til.mp3	do	przyimek
hann	pfn	fp	285303	19	403784		Hann	var með 45 milljónir í laun.		Hann	mætti í morgun.	han	Fornafn	pers.pron.	1K									hann	honum	hans	þeir	þá	þeim	þeirra											hann.mp3	on	zaimek
um	fs	a	272090	20.5	495334	Við fjöllum nánar	um	þetta í fréttum okkar klukkan hálf sjö.	Við tölum	um	þetta á morgun.	ʏm	Forsetning	prep.	1K								um																		um.mp3	o	przyimek
en	st	c	224841	22	495359	Mest er atvinnuleysi á höfuðborgarsvæðinu	en	þar eru tæplega 8.800 skráðir.	Vinkona mín drakk kaffi	en	ég drakk te.	ɛn	Samtenging	conj.	1K								en																		en.mp3	ale	spójnik
við	fs	a	209457	24	495347	Hann hefur sett sig í samband	við	lögfræðing vegna málsins.	Tréð stendur	við	húsið.	vɪːð	Forsetning	prep.	1K								við																		við.mp3	z	przyimek
ekki	ao	a	209020	26	496738	Kreppan er	ekki	bara mál Íslendinga.	Við hittumst	ekki 	í gær.	ɛhcɪ	Atviksorð	adv.	1K								ekki																		ekki.mp3	nie	przysłówek
þessi	fn	fa	200719	27	478813		Þessi	maður á að segja af sér.		Þessi	dagur verður góður.	θɛsɪ	Fornafn	pron.	1K																þessir -- þessar -- þessi	þessi  --  þessi -- þetta									þessi.mp3	ten	zaimek
með	fs	a	189194	29	495300	Þeir komust þó upp	með	hjálp nálægra manna.	Börnin gengu	með	kennaranum.	mɛːð	Forsetning	prep.	1K								með																		með.mp3	z	przyimek
fyrir	fs	a	169606	32	495283		Fyrir	mistök komst heitt vatn í samband við ammoníak.	Hún kaupir mat	fyrir 	mig.	fɪːrɪr	Forsetning	prep.	1K								fyrir																		fyrir.mp3	przedtem; dla; przed	przyimek
hún	pfn	fp	158461	34.5	403785		Hún	á von á barni.		Hún	gekk út.	huːn	Fornafn	pers.pron.	1K									hana	henni	hennar	þær	þær	þeim	þeirra											hún.mp3	ona	zaimek
af	fs	a	152917	36.5	495267	Forsetinn segir þetta gefa ranga mynd	af	samtali sínu.	Vatnið rennur	af 	þakinu.	aːf	Forsetning	prep.	1K								af																		af.mp3	z	przyimek
að	fs	a	147651	38.5	495266	Sá eldur varð minnst 21	að	bana.	Við hlæjum	að	brandaranum.	aːð	Forsetning	prep.	1K								að																		að.mp3	do	przyimek
sá	fn	fa	147013	40	478812		Sú	hugmynd hefur verið kynnt ráðherrum ríkisstjórnar.		Sá	hestur er góður.	sauː	Fornafn	pron.	1K																þeir -- þær -- þau	sá  --  sú -- það									sá.mp3	tamten	zaimek
verða	so	s	140153	41	434440	Upplýsingarnar	verða	notaðar til að móta ýmsar aðgerðir ríkisstjórnarinnar.	Þú	verður	ekki hrædd.	vɛrða	Sagnorð	v.	1K	verð	verður	verður	varð	varðst	varð	orðið																			verða.mp3	stać się; musieć	czasownik
koma	so	s	123103	42	434272	Þetta	kemur	fram í Fréttablaðinu í dag.	Pakkinn	kemur	á morgun.	kʰɔːma	Sagnorð	v.	1K	kem	kemur	kemur	kom	komst	kom	komið																			koma.mp3	przyjść	czasownik
allur	fn	fo	113770	43	478757	Við erum	öll	á sama báti.	Við ferðumst	allan	daginn.	atlʏr	Fornafn	pron.	1K																allir -- allar -- öll	allur  --  öll -- allt									allur.mp3	wszystek	zaimek
segja	so	s	105000	44	436219	Forsetinn	segir	þetta gefa ranga mynd af samtali sínu.	Ég	segi 	þeim fréttirnar.	seija	Sagnorð	v.	1K	segi	segir	segir	sagði	sagðir	sagði	sagt																			segja.mp3	mówić, powiedzieć	czasownik
sig	afn	fp	103516	45	403779	Hann hefur sett	sig	í samband við lögfræðing vegna málsins.	Barnið klæddi	sig	sjálft.	sɪːɣ	Fornafn	refl.pron.	1K																		sig	sér	sín						sig.mp3	siebie	zaimek
ár	hk	nh	95964	46	466	Hann hlaut meistarapróf í hagfræði frá Oslóarháskóla	árið	1985	Þau ferðast á hverju	ári	.	auːr	Nafnorð	n.	1K									ár	ári	árs	ár	ár	árum	ára											ár.mp3	lat	rzeczownik
annar	fn	fo	94459	47	478796		Aðrir	stjórnmálamenn hafa einnig tjáð sig.	Við fórum	aðra	leið.	anar	Fornafn	pron.	1K																aðrir -- aðrar -- önnur	annar  --  önnur -- annað									annar.mp3	inny	zaimek
þar	ao	a	92429	48	495857	Mest er atvinnuleysi á höfuðborgarsvæðinu en	þar	eru tæplega 8.800 skráðir.	Við hittumst	þar 	í gær.	θaːr	Atviksorð	adv.	1K								þar																		þar.mp3	tam	przysłówek
frá	fs	a	89205	49.5	495282	Hann hlaut meistarapróf í hagfræði	frá	Oslóarháskóla árið 1985.	Ég fékk bréf	frá	ferðamanninum.	frauː	Forsetning	prep.	1K								frá																		frá.mp3	z, od	przyimek
