lemma	bin_tag	mim_tag	freq	rank	ind	pre_kw_orig	kw_orig	post_kw_orig	pre_kw	kw	post_kw	ipa_sd	full_cat	bin_tag_en	tier	verb_1st_pres	verb_2nd_pres	verb_3rd_pres	verb_1st_past	verb_2nd_past	verb_3rd_past	verb_lh_þt	OBEYGJANLEGT	ÞFET	ÞGFET	EFET	NFFT	ÞFFT	ÞGFFT	EFFT	ft	et	ÞF	ÞGF	EF	lo.fst	lo.mst	lo.est	MST	EST	pronounce	manual_en	manual_ukr	full_cat_ukr
vera	so	s	1083582	1	469289	Það	er	mín afstaða í þessu máli.	Hundurinn 	er	svartur.	vɛːra	Sagnorð	v.	1K	er	ert	er	var	varst	var	verið																			vera.mp3	be; stay	бути; залишатися	дієслово
og	st	c	953690	2	495371	Svarendur skiptust jafnt eftir kyni	og	landshlutum.	Ég borðaði fisk	og	kartöflur.	ɔːɣ	Samtenging	conj.	1K								og																		og.mp3	and	і	сполучник
í	fs	a	810646	4	495295	Þetta kemur fram	í	Fréttablaðinu í dag.	Maðurinn er	í	sundi.	iː	Forsetning	prep.	1K								í																		í.mp3	in; to	у; до	прийменник
á	fs	a	631754	7	495274	Staða Milestone hefur versnað verulega	á	undanförnum mánuðum.	Glasið er	á	borðinu.	auː	Forsetning	prep.	1K								á																		á.mp3	on; onto; in; into	на; на; у	прийменник
að	nhm	cn	540429	9	495459	Þessi maður á	að	segja af sér.	Ég er 	að	labba.	aːð	Nafnháttarmerki	inf.	1K								að																		að.mp3	to (infinitive marker)	щоб; до; з	інфінитивний маркер
það	pfn	fp	495194	10	403786	Hún vildi ekki gera	það	.	Ég veit	það	ekki.	θaːð	Fornafn	pers.pron.	1K									það	því	þess	þau	þau	þeim	þeirra											það.mp3	it; that	це; що	займенник
sem	st	ct	432605	11.5	495372	Kreppan	sem	nú herji á heiminn sé ekki bara mál Íslendinga.	Ég hitti konu	sem	var glöð.	sɛːm	Samtenging	conj.	1K								sem																		sem.mp3	as; that	то; що	сполучник
að	st	c	356326	13	495350	Þannig	að	það er mín afstaða í þessu máli.	Hann segir mér	að	maturinn sé góður.	aːð	Samtenging	conj.	1K								að																		að.mp3	that	що	сполучник
ég	pfn	fp	351942	14.5	403780		Ég	er búin að bíða svona svolítið.		Ég	hleyp hratt.	jɛːɣ	Fornafn	pers.pron.	1K									mig	mér	mín	við	okkur	okkur	okkar											ég.mp3	I	я	займенник
hafa	so	s	333588	16	478745	Alþingismönnum og ráðherrum	hefur	verið boðað til fundarins.	Ég 	hef 	hitt hana oft.	haːva	Sagnorð	v.	1K	hef	hefur	hefur	hafði	hafðir	hafði	haft																			hafa.mp3	have	мати	дієслово
til	fs	a	304370	17.5	495332	Fólk er hvatt	til	að vera á verði við matarinnkaupin.	Við hlökkum 	til	sumarsins.	tʰɪːl	Forsetning	prep.	1K								til																		til.mp3	to, towards	до; у напрямку до (на шляху)	прийменник
